,frame_id,timer_sec,type,node_id,robot,x,y,z,length,width,height,heading_ang,heading_rad
0,11,1608793387.868103,VEHICLE,1,False,2038.8888545318605,41615.0154362622,-4.542851951350174,4.325800855778656,1.974266254362596,0.0,0,0
1,12,1608793388.468849,VEHICLE,1,False,2041.2699951461132,41618.147610739135,-4.322965021769841,4.249130471004826,2.013077036959383,0.0,52.757189200016576,0.9207866556378825
2,13,1608793389.067836,VEHICLE,1,False,2043.460914267329,41620.843229437225,-4.272785026652612,4.38622154003579,1.9628260377797695,0.0,50.89680979617749,0.8883169097046013
3,14,1608793389.568987,VEHICLE,1,False,2045.5863014856448,41622.96691409961,-4.237062429628248,4.359159209550258,2.0151424003984575,0.0,44.97704221848243,0.7849974745210132
4,15,1608793390.166578,VEHICLE,1,False,2047.9113257501194,41625.82367775892,-4.3183058318912675,4.29613491851189,2.068597436354047,0.0,50.85901132482069,0.8876572019272043
5,16,1608793390.66892,VEHICLE,1,False,2049.7915056090574,41627.96133321656,-4.147449466546793,4.325377414560664,2.0175943154093328,0.0,48.66668104740507,0.8493938202951411
6,17,1608793391.265066,VEHICLE,1,False,2051.9698983162075,41630.436663956236,-4.270415851607286,4.287066010015805,2.088465500736261,0.0,48.65089672069122,0.8491183318237739
7,18,1608793391.766796,VEHICLE,1,False,2053.5056638209776,41632.54068989381,-4.467318941449814,4.245964301009315,2.038643047416424,0.0,53.873636902422646,0.9402723439711943
8,19,1608793392.368185,VEHICLE,1,False,2055.8127417947685,41635.1645501276,-4.234000200169522,4.52450962841236,2.136098081196142,0.0,48.675847689175164,0.8495538083753801
9,20,1608793392.965071,VEHICLE,1,False,2057.902048648841,41637.728015352666,-4.2859463102597815,4.770693038354404,2.250695235962759,0.0,50.818855310230056,0.8869563472581189
10,21,1608793393.465085,VEHICLE,1,False,2059.675053662689,41639.73187862829,-4.256326181137936,4.729378468360741,2.19207705620799,0.0,48.497810046472864,0.8464464653177356
11,22,1608793393.967496,VEHICLE,1,False,2061.395728218479,41641.73402522806,-4.1554111223139945,4.7812355794345605,2.138485822820713,0.0,49.323746548830556,0.8608617766962833
12,23,1608793394.566183,VEHICLE,1,False,2063.374747320673,41644.200933076034,-4.041492848881488,4.627348586951799,2.0779753388593205,0.0,51.262486594900906,0.8946991738404775
13,24,1608793395.06929,VEHICLE,1,False,2065.2842250704707,41646.35143322886,-4.071623510949559,4.573890516149647,2.0674281125730816,0.0,48.397402201009236,0.8446940178195617
14,25,1608793395.6661,VEHICLE,1,False,2066.9815126743674,41648.039801665,-4.272945201048403,4.641347645513376,2.1256774755269605,0.0,44.84906042400749,0.7827637708248149
15,26,1608793396.168308,VEHICLE,1,False,2068.553385229342,41649.49834712428,-4.258718909389245,4.771240692795063,2.116432400146647,0.0,42.858335088444306,0.7480190592163682
16,27,1608793396.765341,VEHICLE,2,False,2040.9983240233505,41615.6032536739,-4.248732466184791,4.24821397785375,1.9652149994108137,0.0,0,0
17,28,1608793397.267882,VEHICLE,2,False,2043.258221790808,41618.42995374064,-4.125038383851633,4.182598086919411,1.9564197803907928,0.0,51.35826935330779,0.8963708983413199
18,29,1608793397.866239,VEHICLE,2,False,2045.793175121862,41621.5929205088,-4.1101963037161235,4.361897492421466,2.1234563388575047,0.0,51.289640139951906,0.8951730926052061
19,30,1608793398.368475,VEHICLE,2,False,2047.828953595707,41624.28911284733,-4.160916411497259,4.267332862454947,2.087042318372568,0.0,52.94512113213353,0.9240666866229579
20,31,1608793398.967043,VEHICLE,2,False,2050.32293401759,41627.28601812597,-4.117056915015709,4.481219305375141,2.1240693625878424,0.0,50.233271409254094,0.8767359801394159
21,32,1608793399.468698,VEHICLE,2,False,2052.633248267965,41630.124547480984,-4.117939207225206,4.244553129024977,2.141770006821024,0.0,50.857429522704834,0.8876295942721676
22,32,1608793399.468698,VEHICLE,7,False,2083.656405735585,41668.11591283436,-4.051938788566611,4.320584822164955,1.9489338170093033,0.0,0,0
23,33,1608793400.066305,VEHICLE,2,False,2054.805410146709,41633.09110281305,-4.085859259392846,4.25079185251814,2.0686829578370087,0.0,53.787782280090816,0.9387738981334476
24,33,1608793400.066305,VEHICLE,7,False,2083.069077747406,41666.91777547178,-4.052147320222056,4.355042715660165,1.9873927088297056,0.0,-116.11413438944976,-2.026573953199074
25,34,1608793400.569419,VEHICLE,2,False,2056.984876788358,41635.51302742263,-4.1408302337658265,4.299275367857343,2.133404829361989,0.0,48.016257932234524,0.8380417954043368
26,34,1608793400.569419,VEHICLE,7,False,2082.124123849022,41666.12463933404,-3.9783141982586194,4.237141908637676,1.9609533294109363,0.0,-139.99197134217317,-2.4433208262784674
27,35,1608793401.165497,VEHICLE,2,False,2059.024516211356,41638.05495880332,-4.130602103305598,4.523476116445854,2.2329882366055775,0.0,51.256528987791235,0.8945951939808735
28,35,1608793401.165497,VEHICLE,7,False,2081.4542132852293,41665.219070089865,-3.9010370454791703,4.350495412923884,1.9859986162700556,0.0,-126.49282706882786,-2.207716312506854
29,36,1608793401.668454,VEHICLE,2,False,2060.778541915052,41640.25935680109,-3.937556976753789,4.723035605723373,2.192382956831465,0.0,51.49095327129253,0.8986866695745998
30,36,1608793401.668454,VEHICLE,7,False,2080.947253943246,41664.52995425114,-4.012265454492803,4.2618916099060895,1.9558889315699541,0.0,-126.34066694872824,-2.2050606174208855
31,37,1608793402.265323,VEHICLE,2,False,2062.799917960541,41642.854637289776,-3.8940510096771472,4.717512064701336,2.1736255110630913,0.0,52.08618335639765,0.90907539436661
32,37,1608793402.265323,VEHICLE,7,False,2080.4964022988934,41663.915965924716,-4.010430956488381,4.349191625300181,1.9524469987403645,0.0,-126.28983897850716,-2.2041735019884223
33,38,1608793402.767543,VEHICLE,2,False,2064.287167116897,41644.846212564495,-3.889952843941262,4.859470012804964,2.0858793113015426,0.0,53.24871891599222,0.92936546755305
34,38,1608793402.767543,VEHICLE,7,False,2080.1731661549184,41663.51417850827,-3.984636644617595,4.281687357581971,1.9555030913640539,0.0,-128.81651889562767,-2.2482723856861924
35,39,1608793403.36709,VEHICLE,2,False,2066.3808765388767,41647.1140090154,-4.0829466106563626,4.653688934983272,2.1317581259352503,0.0,47.28571516383686,0.8252914187691631
36,39,1608793403.36709,VEHICLE,7,False,2079.780547560877,41663.13735510843,-4.002491271081619,4.160504319148552,1.939801135495442,0.0,-136.17600921299945,-2.3767197229929726
37,40,1608793403.867767,VEHICLE,2,False,2068.1547086587166,41648.97762627405,-3.9089587510750485,4.7146253927735025,2.1210314633040936,0.0,46.41397572666339,0.8100766953710038
38,40,1608793403.867767,VEHICLE,7,False,2079.855806884242,41662.99479320994,-4.011369024908411,4.39047943163409,1.9626256151351984,0.0,-62.170144751399995,-1.0850737223534015
39,41,1608793404.36852,VEHICLE,2,False,2070.0877843298663,41650.612138813616,-4.053468772227854,4.567474574186749,2.081532351096618,0.0,40.21619713154909,0.7019050525766307
40,43,1608793405.569383,VEHICLE,8,False,2078.776806033617,41662.20542551064,-3.8266033752882214,4.239702941642267,1.916747446569594,0.0,0,0
41,44,1608793406.16862,VEHICLE,8,False,2078.4715009580755,41661.55857551447,-3.892644982972566,4.179568390417901,1.9404095977031637,0.0,-115.26672210504492,-2.011783818714363
42,45,1608793406.768206,VEHICLE,8,False,2077.9340553259867,41660.935180369226,-4.017320333942771,4.3745952747976595,1.9954327134360674,0.0,-130.76550453868307,-2.2822886022316085
43,46,1608793407.268535,VEHICLE,8,False,2077.6604110880144,41660.26185701527,-3.9967756009430904,4.491822646416492,2.0590223702290373,0.0,-112.11723579372718,-1.9568149128353771
44,47,1608793407.867817,VEHICLE,8,False,2076.697036632456,41659.01442603757,-4.124293696192349,4.368694401360214,2.0271047495083785,0.0,-127.67843461835304,-2.2284090678825703
45,48,1608793408.368653,VEHICLE,8,False,2075.9371827608375,41657.8728947969,-4.103700641220166,4.097276092956461,1.9674149736969633,0.0,-123.64949863229857,-2.1580908695738352
46,56,1608793412.769074,VEHICLE,14,False,2066.385742158061,41648.18322188761,-4.035243598344162,4.751680085568059,2.12661040797619,0.0,0,0
47,57,1608793413.366421,VEHICLE,14,False,2064.775870036707,41646.6574118155,-3.9300415070558796,4.597659186873022,2.043566713324407,0.0,-136.53562989527094,-2.3829962879568787
48,58,1608793413.866487,VEHICLE,14,False,2063.486285513692,41645.46278411595,-4.085242741662748,4.664256227289012,2.053323694474375,0.0,-137.18901499495408,-2.3944000092298205
49,60,1608793414.868854,VEHICLE,15,False,2061.2508646319525,41643.06242516894,-3.9733863457996392,4.759002408060583,2.1245990417289016,0.0,0,0
50,61,1608793415.418787,VEHICLE,15,False,2059.9458566657863,41641.74160014304,-4.014449248112919,4.674624206539456,2.073368794065419,0.0,-134.6548753066006,-2.3501709279625893
51,62,1608793415.966559,VEHICLE,15,False,2058.7338380310534,41640.46978017086,-4.1731282621300085,4.419972055728308,2.114551515297208,0.0,-133.62080313077237,-2.332122963791125
52,63,1608793416.469566,VEHICLE,15,False,2057.481513684686,41639.13395013212,-4.266100540569159,4.404345062086708,2.0961177628381504,0.0,-133.15201729533737,-2.323941107476072
53,64,1608793417.068135,VEHICLE,15,False,2056.173799780077,41637.76710399846,-4.271501883968104,4.469221424226215,2.1192898614757527,0.0,-133.7334457883054,-2.334088949043273
54,65,1608793417.667442,VEHICLE,15,False,2054.782151771989,41636.32793985375,-4.276968352071664,4.354476359457981,2.0582362049585723,0.0,-134.03836132520163,-2.3394107291025983
55,68,1608793419.266828,VEHICLE,20,False,2051.2756814745503,41632.888800683526,-4.069056174831198,4.036691189398927,1.9901549650495343,0.0,0,0
56,68,1608793419.266828,VEHICLE,21,False,2039.9702459492328,41614.18686405685,-4.448307155581428,4.358237429252605,1.9785071127855964,0.0,0,0
57,69,1608793419.7689,VEHICLE,21,False,2042.34485368444,41616.82315040841,-4.393582387917252,4.451813622399618,1.9741375285133789,0.0,47.98938132380458,0.837572710095465
58,70,1608793420.368952,VEHICLE,21,False,2044.950255472652,41619.81897445302,-4.395799112666464,4.2049832278757036,1.9514623524885701,0.0,48.987238844191054,0.8549886092919954
59,71,1608793420.965682,VEHICLE,21,False,2046.692370404823,41622.02639512349,-4.299134822701053,4.402100515759152,2.024432655937136,0.0,51.719201685228086,0.90267035591023
60,72,1608793421.466671,VEHICLE,21,False,2048.3764476854135,41623.84029781946,-4.312231366905506,4.318296321290378,2.0427584131731025,0.0,47.12552267609693,0.8224955324211407
61,73,1608793421.969719,VEHICLE,21,False,2049.6879224052295,41625.30432538693,-4.379976270210847,4.264290268332036,2.0364433407295586,0.0,48.14604254828695,0.8403069642728883
62,74,1608793422.565956,VEHICLE,21,False,2050.8362587198017,41626.6677228172,-4.226872623002962,4.342476661486939,2.066106135646539,0.0,49.89387620762093,0.870812416405447
63,75,1608793423.066642,VEHICLE,21,False,2051.701894622317,41627.80327203969,-4.354687133864359,4.335374393139247,2.052701715610396,0.0,52.68151162134139,0.9194658327200635
64,76,1608793423.569733,VEHICLE,21,False,2052.4967842439733,41628.85101666381,-4.302085326707207,4.277668952032755,2.0544119862362087,0.0,52.813597255045565,0.9217711619227845
65,77,1608793424.168255,VEHICLE,21,False,2053.501193922747,41630.038286085815,-4.338295272210847,4.335545318964339,2.0607994102481597,0.0,49.76934858904628,0.8686389994516519
66,77,1608793424.168255,VEHICLE,24,False,2053.3902182055135,41630.02983503335,-4.30734884146418,4.419531288822174,2.1042986941721655,0.0,0,0
67,77,1608793424.168255,VEHICLE,25,False,2053.3902182055135,41630.02983503335,-4.30734884146418,4.419531288822174,2.1042986941721655,0.0,0,0
68,78,1608793424.815881,VEHICLE,25,False,2054.479178369153,41631.74453329472,-4.319635657072789,4.308257646293492,2.0695529645685027,0.0,57.581434097806294,1.0049856130268504
69,79,1608793425.318214,VEHICLE,25,False,2055.407622662838,41632.89576574391,-4.266283368525418,4.45456350090022,2.0465030873032135,0.0,51.114567878887144,0.8921175052207149
70,80,1608793425.865954,VEHICLE,25,False,2056.6001021152492,41634.93930064584,-4.2868421267141255,4.51044931993427,2.1238785438303074,0.0,59.73483137511916,1.0425694856194412
71,80,1608793425.865954,VEHICLE,30,False,2068.874961962339,41653.25411017666,-3.3851650479086635,0.6080272856918095,0.6105599237051765,0.0,0,0
72,81,1608793426.367796,VEHICLE,25,False,2057.785609268387,41636.66888740132,-4.436199714994869,4.5853414432396775,2.20783706837864,0.0,55.572169955508166,0.9699173382014882
73,82,1608793426.968231,VEHICLE,25,False,2059.2419986956947,41638.90013736133,-4.259355442185435,4.83737584259466,2.2220519322455554,0.0,56.8665685769277,0.9925088559785347
74,83,1608793427.515978,VEHICLE,25,False,2060.6236494233717,41640.829347824605,-4.2524262063148885,4.78215034698735,2.1556169525082187,0.0,54.39073937852328,0.9492974847493656
75,84,1608793428.06599,VEHICLE,25,False,2062.1855675334464,41643.01448473974,-4.07016036317744,4.566805485302725,2.1038277689278106,0.0,54.443123569916395,0.9502117613651704
76,85,1608793428.565991,VEHICLE,25,False,2063.6588073454536,41644.96792746759,-4.065656474090228,4.728112462416918,2.0974344232701667,0.0,52.97727451934799,0.9246278690955189
77,86,1608793429.068347,VEHICLE,25,False,2065.6378715255005,41647.174838146566,-4.1298508019919415,4.6182073349889965,2.0916668269002843,0.0,48.11558803656441,0.8397754327712428
78,87,1608793429.56937,VEHICLE,25,False,2067.625579584532,41649.295951145345,-4.326173563089209,4.614529677142792,2.0630752635549894,0.0,46.8596224435605,0.8178546978815614
79,87,1608793429.56937,VEHICLE,33,False,2067.634363775356,41649.286555055,-4.326352077251623,4.613406192048234,2.064606154276673,0.0,0,0
80,91,1608793431.767031,VEHICLE,34,False,2077.8872788440453,41658.107865967984,-4.058094625457294,4.218908651295247,1.923937252633352,0.0,0,0
81,93,1608793432.916986,VEHICLE,40,False,2082.357030243276,41662.40931063763,-3.785892162106421,1.0929255328687373,0.6126976023442725,0.0,0,0
82,94,1608793433.468478,VEHICLE,41,False,2084.208728985645,41664.61954013664,-3.8841404179537697,1.002328686629324,0.5617272105986784,0.0,0,0
83,104,1608793439.068706,VEHICLE,43,False,2067.6040739179257,41650.38715268048,-4.04382164877863,4.679675272785655,2.0723440252341785,0.0,0,0
84,106,1608793440.168537,VEHICLE,45,False,2066.0670078794215,41649.03993602454,-3.981348670499189,4.6364723722208465,2.058355895226114,0.0,0,0
85,107,1608793440.819397,VEHICLE,45,False,2065.0145871968693,41648.51333613576,-4.034755948603484,4.715661582443903,2.0074542247850973,0.0,-153.417985170427,-2.6776489729997848
86,116,1608793445.670249,VEHICLE,48,False,2051.360482691335,41626.88710511312,-4.308965651441804,4.308361229990663,2.0449757777395865,0.0,0,0
87,117,1608793446.267275,VEHICLE,50,False,2053.38686845685,41629.97304859392,-4.410173056855808,4.314595383332764,2.089644525700612,0.0,0,0
88,118,1608793446.768814,VEHICLE,50,False,2054.9662333062056,41632.32866987215,-4.294880702215336,4.3320635662725,2.104927859842844,0.0,56.1594764394174,0.9801677700640155
89,119,1608793447.316366,VEHICLE,50,False,2056.8506531687094,41634.8406546737,-4.2443369671225994,4.395454516342503,2.1163683975896985,0.0,53.123807432392276,0.9271853508906801
90,120,1608793447.916598,VEHICLE,50,False,2058.854053306925,41637.57527543724,-4.355830646453139,4.605894732100951,2.145670028901139,0.0,53.77326361893728,0.938520499693337
91,121,1608793448.51963,VEHICLE,50,False,2061.0820380359087,41640.30308145928,-4.189442401631309,4.688456269419726,2.147073496038146,0.0,50.75914930099918,0.8859142808138138
92,122,1608793449.116323,VEHICLE,50,False,2063.4957407980555,41643.29576075921,-4.100942761090291,4.454969712966471,2.001077755743926,0.0,51.112583640194956,0.8920828737223907
93,123,1608793449.716501,VEHICLE,50,False,2065.7130056800615,41645.788095527874,-4.263034919708979,4.339608698965351,2.062137900170688,0.0,48.342632139228755,0.8437380999099716
94,124,1608793450.367946,VEHICLE,50,False,2069.0406716860043,41649.554543862556,-4.284362901719669,4.499898836500668,2.0116050665748433,0.0,48.539326907401886,0.8471710712360396
95,129,1608793453.167492,VEHICLE,57,False,2083.4553956648183,41664.876069221515,-4.119908438183055,4.282270871459871,1.9414947732246852,0.0,0,0
